               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12477,             0.03405,                   0,           0.0012121,             0.36364,           0.0017049,          0.00034757,             0.12906,            0.029538,                   0,              0.0004,              0.0004,              0.0964
                   1,             0.11517,            0.034726,                   0,           0.0015152,             0.45455,           0.0027213,          0.00057738,             0.12183,            0.028555,                   0,          0.00088629,          0.00088629,            0.091886
                   2,             0.10801,            0.034317,                   0,           0.0044025,             0.72727,            0.022806,           0.0044498,            0.087389,            0.027049,                   0,           0.0013574,           0.0013574,            0.087357
                   3,            0.093049,            0.035363,                   0,           0.0036202,             0.90909,             0.04561,           0.0096328,            0.073493,            0.023974,                   0,           0.0018132,           0.0018132,            0.082813
                   4,            0.093602,            0.034746,                   0,            0.022049,             0.81818,             0.08955,            0.032091,            0.067346,            0.021457,                   0,           0.0022538,           0.0022538,            0.078254
                   5,            0.080062,            0.031531,                   0,             0.17865,             0.54545,             0.20388,            0.054413,            0.079979,            0.020487,                   0,           0.0026792,           0.0026792,            0.073679
                   6,            0.083097,            0.031784,                   0,             0.39161,             0.54545,             0.53685,             0.11985,            0.084219,            0.017696,                   0,           0.0030893,           0.0030893,            0.069089
                   7,            0.073966,            0.031009,                   0,             0.58299,             0.51067,             0.68672,             0.25759,            0.070132,             0.01707,                   0,           0.0034842,           0.0034842,            0.064484
                   8,            0.069304,             0.02842,                   0,             0.65596,             0.81818,             0.75056,             0.22629,            0.049054,             0.01687,                   0,           0.0038639,           0.0038639,            0.059864
                   9,            0.069126,            0.026228,                   0,             0.65377,             0.54545,             0.61668,             0.21075,            0.056086,            0.016864,                   0,           0.0042283,           0.0042283,            0.055228
                  10,            0.064343,            0.026217,                   0,             0.14906,             0.18182,             0.15276,            0.039897,            0.072135,             0.01655,                   0,           0.0045775,           0.0045775,            0.050578
                  11,            0.068192,            0.026057,                   0,              0.5205,             0.36364,             0.49177,             0.14671,            0.056044,            0.013914,                   0,           0.0049115,           0.0049115,            0.045912
